target_key,category,sequence,target_index,schedule,final_type,row_source,psnr,ssim,ms_ssim,lpips,payload_bytes,status_note
horsejump-high:00046,high_payload_residual_control_extension,horsejump-high,46,uniform_gap4,middle_recovery,stage174_rendered,27.626824875422624,0.8742809295654297,0.9831863045692444,0.15468835830688477,220517.0,Stage174 rendered/reused middle recovery
india:00027,positive_promoted,india,27,uniform_gap8,middle_recovery,stage170,31.727685844595296,0.8596524596214294,0.9805073738098145,0.23860138654708862,233735.0,Stage174 rendered/reused middle recovery
india:00027,positive_promoted,india,27,stage165_adaptive,q12_target_keyframe,stage170,33.96997746758113,0.9406776428222656,0.9928357005119324,0.09175875782966614,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
india:00027,positive_promoted,india,27,uniform_gap4,middle_recovery,stage170,32.98135810794082,0.906589686870575,0.9864897131919861,0.17582623660564423,221610.0,Stage174 rendered/reused middle recovery
india:00030,positive_promoted,india,30,uniform_gap8,middle_recovery,stage170,32.04372980040284,0.8643271327018738,0.9803212285041809,0.24491067230701447,230255.0,Stage174 rendered/reused middle recovery
india:00030,positive_promoted,india,30,stage165_adaptive,q12_target_keyframe,stage170,34.30541366588323,0.9414668083190918,0.9927492141723633,0.09583662450313568,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
india:00030,positive_promoted,india,30,uniform_gap4,middle_recovery,stage170,31.833316061805085,0.8586801886558533,0.9793757796287537,0.2481166124343872,237655.0,Stage174 rendered/reused middle recovery
lab-coat:00010,high_payload_residual_control_extension,lab-coat,10,uniform_gap8,middle_recovery,stage174_rendered,28.29881826100862,0.8668813705444336,0.9854397773742676,0.17790499329566956,217729.0,Stage174 rendered/reused middle recovery
lab-coat:00010,high_payload_residual_control_extension,lab-coat,10,stage165_adaptive,middle_recovery,stage174_rendered,28.29881826100862,0.8668813705444336,0.9854397773742676,0.17790499329566956,217729.0,Stage174 rendered/reused middle recovery
lab-coat:00010,high_payload_residual_control_extension,lab-coat,10,uniform_gap4,middle_recovery,stage174_rendered,28.26420284277614,0.8649073243141174,0.9851789474487305,0.17963165044784546,225545.0,Stage174 rendered/reused middle recovery
libby:00018,high_payload_residual_control,libby,18,uniform_gap8,middle_recovery,stage170,32.2933298708418,0.860724687576294,0.980495810508728,0.20074515044689178,251498.0,Stage174 rendered/reused middle recovery
libby:00018,high_payload_residual_control,libby,18,stage165_adaptive,middle_recovery,stage170,33.46085017636697,0.8973371982574463,0.9854229092597961,0.13682487607002258,246279.0,Stage174 rendered/reused middle recovery
libby:00018,high_payload_residual_control,libby,18,uniform_gap4,middle_recovery,stage170,32.7872643629876,0.8752465844154358,0.9826985001564026,0.17209970951080322,257925.0,Stage174 rendered/reused middle recovery
motocross-jump:00013,positive_promoted,motocross-jump,13,uniform_gap8,middle_recovery,stage170,31.063829825022648,0.7812431454658508,0.9654493927955627,0.3191358745098114,263358.0,Stage174 rendered/reused middle recovery
motocross-jump:00013,positive_promoted,motocross-jump,13,stage165_adaptive,q12_target_keyframe,stage170,36.00498298727014,0.9485910534858704,0.9932141304016113,0.0848405584692955,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
motocross-jump:00013,positive_promoted,motocross-jump,13,uniform_gap4,middle_recovery,stage170,33.23198281080156,0.8665189743041992,0.9809311032295227,0.2331462800502777,244937.0,Stage174 rendered/reused middle recovery
motocross-jump:00022,positive_promoted,motocross-jump,22,uniform_gap8,middle_recovery,stage170,32.51566190094791,0.8911518454551697,0.9843597412109375,0.24619509279727936,247999.0,Stage174 rendered/reused middle recovery
motocross-jump:00022,positive_promoted,motocross-jump,22,stage165_adaptive,q12_target_keyframe,stage170,34.7230078658803,0.9633579254150391,0.9958063960075378,0.0886726826429367,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
motocross-jump:00022,positive_promoted,motocross-jump,22,uniform_gap4,middle_recovery,stage170,30.119209546194526,0.799853503704071,0.9659498333930969,0.33573687076568604,253183.0,Stage174 rendered/reused middle recovery
motocross-jump:00023,positive_promoted_extension,motocross-jump,23,uniform_gap8,middle_recovery,stage168,33.73711967135464,0.9318807721138,0.9887822866439819,0.19372843205928802,236236.0,Stage174 rendered/reused middle recovery
motocross-jump:00023,positive_promoted_extension,motocross-jump,23,stage165_adaptive,q12_target_keyframe,stage168,34.72708118783171,0.963740885257721,0.9955734610557556,0.09358599781990051,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
motocross-jump:00023,positive_promoted_extension,motocross-jump,23,uniform_gap4,middle_recovery,stage168,32.663031483960296,0.8911888003349304,0.9837796092033386,0.265142023563385,241694.0,Stage174 rendered/reused middle recovery
paragliding-launch:00018,high_payload_residual_control_extension,paragliding-launch,18,uniform_gap8,middle_recovery,stage174_rendered,29.26343582576235,0.8002673983573914,0.9743897914886475,0.200591042637825,222111.0,Stage174 rendered/reused middle recovery
paragliding-launch:00018,high_payload_residual_control_extension,paragliding-launch,18,stage165_adaptive,middle_recovery,stage174_rendered,29.26343582576235,0.8002673983573914,0.9743897914886475,0.200591042637825,222111.0,Stage174 rendered/reused middle recovery
paragliding-launch:00018,high_payload_residual_control_extension,paragliding-launch,18,uniform_gap4,middle_recovery,stage174_rendered,29.18206116843764,0.7951533198356628,0.974165141582489,0.20101866126060486,217607.0,Stage174 rendered/reused middle recovery
parkour:00015,high_payload_residual_control_extension,parkour,15,uniform_gap8,middle_recovery,stage174_rendered,29.32513033444037,0.8651668429374695,0.9846137166023254,0.16706347465515137,220588.0,Stage174 rendered/reused middle recovery
parkour:00015,high_payload_residual_control_extension,parkour,15,stage165_adaptive,middle_recovery,stage174_rendered,29.32513033444037,0.8651668429374695,0.9846137166023254,0.16706347465515137,220588.0,Stage174 rendered/reused middle recovery
