step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
362,n3dv,16,49,0.0625,0.0009524645865894854,30.21151162775373
363,n3dv,8,7,0.875,0.0008969440241344273,30.472346592614635
364,n3dv,16,33,0.0625,0.0009020796278491616,30.447551249756266
365,meetroom,2,3,0.5,0.0010084407404065132,29.963496174022417
366,meetroom,8,7,0.875,0.0011149634374305606,29.527393740351073
367,meetroom,8,15,0.875,0.0008592281956225634,30.6589148001233
368,meetroom,8,31,0.875,0.001103034126572311,29.574110507939288
369,robot,4,13,0.25,0.006097021512687206,22.14882272613825
370,meetroom,4,13,0.25,0.0009716873173601925,30.124734657238292
371,robot,8,75,0.75,0.00967869907617569,20.14183012733612
372,n3dv,4,13,0.25,0.0008917580707930028,30.497529514204977
373,meetroom,4,3,0.75,0.0012001215945929289,29.207747496311754
374,robot,4,9,0.25,0.00908065028488636,20.418830496038716
375,n3dv,4,11,0.75,0.0008571757934987545,30.669301018606742
376,meetroom,4,7,0.75,0.001114520593546331,29.52911902436408
377,n3dv,8,1,0.125,0.0014524598373100162,28.3789586766451
378,robot,2,1,0.5,0.006281351670622826,22.019468913060855
379,meetroom,8,9,0.125,0.001181417377665639,29.27596645321145
380,robot,4,11,0.75,0.011285044252872467,19.474967335520464
381,robot,8,15,0.875,0.004534868057817221,23.434353442368522
382,meetroom,8,25,0.125,0.001415783422999084,28.490031770065833
383,meetroom,16,33,0.0625,0.0011565102031454444,29.368505313756636
384,n3dv,16,31,0.9375,0.0008595634717494249,30.65722048688661
