edge_id,task_id,sequence,reference_gap,left_index,right_index,target_index,normalized_time,setting_label,keep_fraction,side_bits,payload_bytes,base_anchor_mse,corrected_anchor_mse,anchor_mse_reduction,base_render_mse,corrected_render_mse,base_psnr,corrected_psnr,delta_psnr_vs_base,status,error
dog:00036:00048:gap12,stage199_00023239,dog,12,36,48,43,0.5833333333333334,topk_keep0p1_q6,0.1,6,29755,0.007025962695479393,0.003974769730120897,0.4342740059410901,0.01364931184798479,0.007202333305031061,18.6488924372627,21.425267844939828,2.776375407677129,ok,
dog:00036:00048:gap12,stage199_00023239,dog,12,36,48,43,0.5833333333333334,topk_keep0p2_q6,0.2,6,56417,0.007025962695479393,0.002573559060692787,0.6337072694182317,0.01364931184798479,0.0044552721083164215,18.6488924372627,23.511257660308278,4.862365223045579,ok,
dog:00036:00048:gap12,stage199_00023240,dog,12,36,48,44,0.6666666666666666,topk_keep0p05_q6,0.05,6,15756,0.007106085307896137,0.005077469162642956,0.2854759065443564,0.013590407557785511,0.009687749668955803,18.667675191730773,20.137770918711727,1.4700957269809543,ok,
dog:00036:00048:gap12,stage199_00023240,dog,12,36,48,44,0.6666666666666666,topk_keep0p1_q6,0.1,6,29919,0.007106085307896137,0.004001735243946314,0.43685797868206466,0.013590407557785511,0.007333996705710888,18.667675191730773,21.346592894520327,2.6789177027895548,ok,
dog:00036:00048:gap12,stage199_00023240,dog,12,36,48,44,0.6666666666666666,topk_keep0p2_q6,0.2,6,56742,0.007106085307896137,0.0025749641936272383,0.6376395607345171,0.013590407557785511,0.004571681376546621,18.667675191730773,23.39924045387335,4.731565262142578,ok,
dog:00036:00048:gap12,stage199_00023241,dog,12,36,48,45,0.75,topk_keep0p05_q6,0.05,6,15847,0.006910169031471014,0.004864278249442577,0.2960695711943987,0.012900942005217075,0.009243807755410671,18.893785770859324,20.341490951739427,1.447705180880103,ok,
dog:00036:00048:gap12,stage199_00023241,dog,12,36,48,45,0.75,topk_keep0p1_q6,0.1,6,30036,0.006910169031471014,0.003777136327698827,0.4533945102505311,0.012900942005217075,0.006967170629650354,18.893785770859324,21.569435532363258,2.6756497615039336,ok,
dog:00036:00048:gap12,stage199_00023241,dog,12,36,48,45,0.75,topk_keep0p2_q6,0.2,6,56802,0.006910169031471014,0.002381797879934311,0.6553198815995849,0.012900942005217075,0.004183029755949974,18.893785770859324,23.785090460579276,4.891304689719952,ok,
dog:00036:00048:gap12,stage199_00023242,dog,12,36,48,46,0.8333333333333334,topk_keep0p05_q6,0.05,6,15938,0.007142486050724983,0.004888606257736683,0.315559565252427,0.01252072025090456,0.009279686026275158,19.023706877392975,20.324667176780046,1.3009602993870715,ok,
dog:00036:00048:gap12,stage199_00023242,dog,12,36,48,46,0.8333333333333334,topk_keep0p1_q6,0.1,6,30246,0.007142486050724983,0.0037483868654817343,0.475198573877332,0.01252072025090456,0.006918785162270069,19.023706877392975,21.59970154624023,2.5759946688472546,ok,
dog:00036:00048:gap12,stage199_00023242,dog,12,36,48,46,0.8333333333333334,topk_keep0p2_q6,0.2,6,56948,0.007142486050724983,0.002324077533558011,0.6746122404646334,0.01252072025090456,0.004156819544732571,19.023706877392975,23.812388286157386,4.788681408764411,ok,
dog:00036:00048:gap12,stage199_00023243,dog,12,36,48,47,0.9166666666666666,topk_keep0p05_q6,0.05,6,15518,0.005787526722997427,0.0038218977861106396,0.33963194140877595,0.009963655844330788,0.006743705831468105,20.015812818871733,21.71101382416016,1.6952010052884248,ok,
dog:00036:00048:gap12,stage199_00023243,dog,12,36,48,47,0.9166666666666666,topk_keep0p1_q6,0.1,6,29159,0.005787526722997427,0.0028954821173101664,0.4997030241252065,0.009963655844330788,0.005011702422052622,20.015812818871733,23.000147238505168,2.9843344196334343,ok,
