step,task_id,sequence,codec,reference_gap,target_index,normalized_time,loss,loss_weight,weighted_loss,loss_psnr
228,stage79_00013553,paragliding,q12,8,18,0.25,0.00443692272529006,1.5,0.006655383855104446,23.52918135013975
229,stage79_00009955,koala,q12,4,58,0.5,0.006756279151886702,2.0,0.013512558303773403,21.702924148115926
230,stage79_00011332,lucia,q12,4,53,0.25,0.010225589387118816,2.0,0.020451178774237633,19.90311650538569
231,stage79_00017173,soccerball,q12,4,37,0.25,0.010304601863026619,2.0,0.020609203726053238,19.869687833152252
232,stage79_00001556,boxing-fisheye,q12,8,41,0.125,0.007453423459082842,1.5,0.011180135421454906,21.276442040456555
233,stage79_00005649,dog-gooses,q12,4,45,0.25,0.008291021920740604,2.0,0.01658204384148121,20.813919366166754
234,stage79_00011324,lucia,q12,4,42,0.5,0.012887376360595226,2.0,0.025774752721190453,18.898354882394695
235,stage79_00012444,miami-surf,q12,4,63,0.75,0.003379620611667633,2.0,0.006759241223335266,24.711320498723563
236,stage79_00016560,skate-park,q12,8,6,0.75,0.018589135259389877,1.5,0.027883702889084816,17.30740812530963
237,stage79_00001149,boat,q12,8,51,0.375,0.0036045911256223917,1.5,0.005406886804848909,24.431439908493328
238,stage79_00008459,hockey,q12,4,42,0.5,0.013430873863399029,2.0,0.026861747726798058,18.718957295721218
239,stage79_00000259,bear,q12,4,73,0.25,0.007152206264436245,2.0,0.01430441252887249,21.45559969293968
240,stage79_00006919,drone,q12,8,61,0.625,0.048591215163469315,1.5,0.07288682460784912,13.134422400151895
