measurement_key,sequence,target_index,left_index,right_index,segment_length,normalized_time,used_by_schedules,schedule_count,keep_fraction,side_bits,selector_mode,selector_payload_bytes,left_payload_bytes,right_payload_bytes,left_psnr,right_psnr,selected_half,selected_residual_payload_bytes,payload_bytes,payload_mib,status,error
residual::bike-packing:00060:00056:00064,bike-packing,60,56,64,8,0.5,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,199159,184859,25.741626053833357,25.802874230093845,right,184859,184860,0.17629623413085938,ok,
residual::bike-packing:00061:00056:00064,bike-packing,61,56,64,8,0.625,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,198239,176330,25.501869456702977,25.97440831690683,right,176330,176331,0.16816234588623047,ok,
residual::bike-packing:00061:00060:00064,bike-packing,61,60,64,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,142703,170764,26.120510829065033,25.801972223693816,left,142703,142704,0.1360931396484375,ok,
residual::bike-packing:00062:00056:00064,bike-packing,62,56,64,8,0.75,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,202840,169698,24.988417477500946,26.038708137947594,right,169698,169699,0.16183757781982422,ok,
residual::bike-packing:00062:00060:00064,bike-packing,62,60,64,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,163322,167127,25.331764929898036,25.908792854446645,right,167127,167128,0.15938568115234375,ok,
residual::bike-packing:00063:00056:00064,bike-packing,63,56,64,8,0.875,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,202539,149463,24.673063690149014,26.152902040511684,right,149463,149464,0.14253997802734375,ok,
residual::bike-packing:00063:00060:00064,bike-packing,63,60,64,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,165951,144157,25.20228577464758,26.137514436474984,right,144157,144158,0.1374797821044922,ok,
residual::bike-packing:00065:00064:00068,bike-packing,65,64,68,4,0.25,stage165_adaptive uniform_gap4 uniform_gap8,3,1.0,6,psnr_best_half,1,140599,172493,26.001497790205992,25.86867259413166,left,140599,140600,0.13408660888671875,ok,
residual::bike-packing:00066:00064:00068,bike-packing,66,64,68,4,0.5,stage165_adaptive uniform_gap4 uniform_gap8,3,1.0,6,psnr_best_half,1,154596,166222,25.739863787227563,25.894738367562283,right,166222,166223,0.1585226058959961,ok,
residual::bike-packing:00067:00064:00068,bike-packing,67,64,68,4,0.75,stage165_adaptive uniform_gap4 uniform_gap8,3,1.0,6,psnr_best_half,1,169841,139706,25.35403057612252,25.97870086517643,right,139706,139707,0.13323497772216797,ok,
residual::blackswan:00001:00000:00004,blackswan,1,0,4,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,220682,235518,29.827080615750624,29.032272140092864,left,220682,220683,0.21045970916748047,ok,
residual::blackswan:00001:00000:00008,blackswan,1,0,8,8,0.125,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,224996,242691,29.915172332766133,28.774592314559268,left,224996,224997,0.21457386016845703,ok,
residual::blackswan:00002:00000:00004,blackswan,2,0,4,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,228488,230536,29.427664401728318,29.47592448761798,right,230536,230537,0.21985721588134766,ok,
residual::blackswan:00002:00000:00008,blackswan,2,0,8,8,0.25,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,234680,242535,29.724037622899285,28.97262857204474,left,234680,234681,0.22380924224853516,ok,
residual::blackswan:00003:00000:00004,blackswan,3,0,4,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,230933,223934,28.836358961105006,29.726015141555166,right,223934,223935,0.2135610580444336,ok,
residual::blackswan:00003:00000:00008,blackswan,3,0,8,8,0.375,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,237388,241149,29.402255383799222,29.135218785646437,left,237388,237389,0.22639179229736328,ok,
residual::blackswan:00004:00000:00008,blackswan,4,0,8,8,0.5,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,239984,238140,29.175973239448936,29.401924965010252,right,238140,238141,0.22710895538330078,ok,
