task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,side_bits,keep_gaussians,payload_bytes,payload_mib_per_intermediate_frame,theoretical_bytes_without_header,header_bytes,metadata_bytes,index_bytes,residual_bytes,payload_entropy_bits_per_byte,residual_entropy_bits_per_byte,zlib_whole_bytes,component_zlib_bytes,residual_zlib_bytes,delta_index_zlib_bytes,best_candidate,best_bytes,best_mib_per_intermediate_frame,best_ratio_vs_raw,best_savings_bytes_vs_raw
stage79_00023819,cows,q12,4,6,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.710017043482925,7.615469599673853,39991,39748,39894,35467,delta_index_zlib,35467,0.03382396697998047,0.8175699038749683,7914
stage79_00028860,motocross-jump,q12,16,3,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.958959614160118,6.658451822620511,35915,35694,35903,30892,delta_index_zlib,30892,0.029460906982421875,0.7121089878057214,12489
stage79_00028860,motocross-jump,q12,16,3,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.728170069323666,7.654718637433986,40952,40711,40943,36184,delta_index_zlib,36184,0.03450775146484375,0.8340978769507388,7197
stage79_00026422,gold-fish,q12,8,63,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.884051130151686,6.5497928909621494,35648,35486,35593,30709,delta_index_zlib,30709,0.02928638458251953,0.7078905511629515,12672
stage79_00026422,gold-fish,q12,8,63,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.633871892152196,7.510478166195359,39683,39467,39594,34872,delta_index_zlib,34872,0.03325653076171875,0.8038542218943777,8509
stage79_00024429,dance-twirl,q12,8,68,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.914315889422266,6.594114550476792,35139,34947,35103,30439,delta_index_zlib,30439,0.029028892517089844,0.7016666282473895,12942
stage79_00024429,dance-twirl,q12,8,68,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.695261533402823,7.597544313101949,40616,40386,40534,35932,delta_index_zlib,35932,0.034267425537109375,0.8282888822295476,7449
stage79_00025003,dogs-jump,q12,4,13,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.873624976317947,6.5785700446156765,34416,34127,34709,29369,delta_index_zlib,29369,0.028008460998535156,0.6770014522486802,14012
stage79_00025003,dogs-jump,q12,4,13,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.553220619455618,7.427619244645206,38525,38125,38600,33520,delta_index_zlib,33520,0.0319671630859375,0.7726885041838593,9861
stage79_00027991,libby,q12,8,30,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.000037426019969,6.726131759393997,36602,36404,36562,31779,delta_index_zlib,31779,0.03030681610107422,0.7325557271616606,11602
stage79_00027991,libby,q12,8,30,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.769792956043905,7.708669028032261,41523,41345,41493,36765,delta_index_zlib,36765,0.03506183624267578,0.8474908370023743,6616
stage79_00027718,lab-coat,q12,4,39,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.897674585460797,6.592090037533371,34466,34283,34512,29795,delta_index_zlib,29795,0.02841472625732422,0.686821419515456,13586
stage79_00027718,lab-coat,q12,4,39,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.681335795272879,7.605032840207499,40278,40004,40271,35666,delta_index_zlib,35666,0.03401374816894531,0.8221571655794011,7715
stage79_00030970,soapbox,q12,8,44,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.927455503609117,6.6314156281297025,35322,34986,35314,30512,delta_index_zlib,30512,0.0290985107421875,0.7033493925912265,12869
stage79_00030970,soapbox,q12,8,44,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.714671877689412,7.652199007104708,40588,40262,40599,35849,delta_index_zlib,35849,0.034188270568847656,0.826375602222171,7532
