task_id,sequence,reference_gap,setting_label,base_psnr,full_adapter_psnr,adapter_delta_psnr,adapter_delta_vs_base,mlp_psnr,mlp_delta_vs_base,mlp_delta_vs_adapter_delta,mlp_delta_vs_full_adapter,mlp_regresses_base,mlp_regresses_adapter_delta
stage79_00027745,lab-coat,8,q4_top20,16.004167177292384,16.55194492552082,16.130553583721138,0.12638640642875387,15.768383603346756,-0.23578357394562843,-0.3621699803743823,-0.7835613221740658,1,1
stage79_00027978,libby,8,q4_top20,18.184276428001066,18.404071203902447,18.234484940222156,0.05020851222109002,18.586164436088282,0.4018880080872158,0.3516794958661258,0.18209323218583506,0,0
stage79_00028605,mbike-trick,8,q4_top20,20.718688817006615,21.320967745543484,20.98247502851766,0.263786211511043,20.67711971959625,-0.04156909741036685,-0.30535530892140983,-0.6438480259472357,1,1
stage79_00028856,motocross-jump,8,q4_top20,21.3325823825336,21.491838832814118,21.315955492394853,-0.016626890138748962,20.449461402966076,-0.8831209795675257,-0.8664940894287767,-1.0423774298480417,1,1
stage79_00030077,pigs,8,q4_top20,24.346765933055913,24.733364599901346,24.43217353804168,0.08540760498576816,24.233737837121687,-0.1130280959342258,-0.19843570091999396,-0.4996267627796591,1,1
stage79_00030357,scooter-black,8,q4_top20,12.425411016823018,12.836314417230641,12.55716252202829,0.13175150520527268,12.59253899168612,0.16712797486310116,0.03537646965782848,-0.2437754255445217,0,0
stage79_00030544,shooting,8,q4_top20,13.554008125720307,13.805096541096226,13.611293653599805,0.05728552787949859,13.564789761103755,0.010781635383448673,-0.046503892496049914,-0.24030677999247096,0,1
stage79_00030952,soapbox,8,q4_top20,20.26327365950387,21.46335813797913,20.571570474077593,0.3082968145737226,19.846248741570854,-0.4170249179330163,-0.7253217325067389,-1.6171093964082779,1,1
stage79_00021680,blackswan,16,q4_top20,18.373136893057158,18.879525623973517,18.501978898351442,0.1288420052942847,18.400399147409498,0.02726225435234042,-0.10157975094194427,-0.4791264765640193,0,1
stage79_00023538,car-shadow,16,q4_top20,15.961181498735804,16.454408167178645,16.05021480295352,0.08903330421771471,15.926886287612774,-0.034295211123030356,-0.12332851534074507,-0.5275218795658709,1,1
stage79_00024489,dance-twirl,16,q4_top20,18.01875981567155,18.3312598539137,18.129652829547812,0.11089301387626094,17.947860756007405,-0.07089905966414634,-0.18179207354040727,-0.38339909790629534,1,1
stage79_00025652,drift-straight,16,q4_top20,11.958519462191932,12.122501586301269,11.945708921675664,-0.012810540516268176,11.955106828869088,-0.0034126333228439165,0.00939790719342426,-0.1673947574321808,1,0
stage79_00026072,goat,16,q4_top20,14.945819213685098,15.461790686845806,15.022819333567918,0.07700011988282007,15.024289485083692,0.07847027139859364,0.0014701515157735656,-0.4375012017621138,0,0
stage79_00026493,gold-fish,16,q4_top20,25.894456263963935,25.53603304191234,25.74559082789068,-0.14886543607325464,24.831161834638028,-1.0632944293259072,-0.9144289932526526,-0.7048712072743122,1,1
stage79_00026740,horsejump-high,16,q4_top20,15.315172299652811,15.718575525816632,15.407987854181028,0.09281555452821699,15.489017572103483,0.17384527245067183,0.08102971792245484,-0.22955795371314913,0,0
