sequence,frame_index,adaptive_psnr,adaptive_ssim,adaptive_ms_ssim,adaptive_lpips,adaptive_payload_bytes,gap8_psnr,gap8_lpips,gap4_psnr,gap4_lpips,delta_psnr_gap4_vs_adaptive,delta_lpips_gap4_vs_adaptive,low_psnr_flag,high_lpips_flag,high_payload_flag,risk_score
mbike-trick,75,28.057403551324928,0.7957553863525391,0.9680415391921997,0.3278466463088989,217490,28.057403551324928,0.3278466463088989,28.950980379509325,0.2561626434326172,0.893576828184397,-0.07168400287628174,0,1,0,2.1569329261779786
mbike-trick,68,28.848012276659762,0.8057870268821716,0.9712759256362915,0.32768476009368896,216475,28.848012276659762,0.32768476009368896,30.28565335665626,0.1528666466474533,1.4376410799964958,-0.17481811344623566,0,1,0,2.1536952018737794
cows,92,24.507885332363287,0.7677278518676758,0.9749515056610107,0.21217480301856995,240614,24.507885332363287,0.21217480301856995,24.60752908048694,0.20861287415027618,0.09964374812365406,-0.003561928868293762,1,0,1,1.904394667636713
cows,98,24.571573012871383,0.7715572714805603,0.9758056998252869,0.210260808467865,239662,24.571573012871383,0.210260808467865,24.55906519270515,0.21143342554569244,-0.012507820166231198,0.0011726170778274536,1,0,1,1.821666987128617
cows,29,24.52782642544966,0.7637179493904114,0.9742106199264526,0.21334463357925415,236020,24.52782642544966,0.21334463357925415,24.614365352841773,0.21188446879386902,0.08653892739211244,-0.0014601647853851318,1,0,1,1.7925735745503395
motocross-jump,15,32.30692716904151,0.8227729201316833,0.9723913073539734,0.27240926027297974,256508,35.37015750181926,0.1442437320947647,33.49935979657597,0.2308453619480133,1.1924326275344654,-0.04156389832496643,0,1,1,1.778345205459595
cows,91,24.629336970992036,0.7720308303833008,0.9753977656364441,0.21306170523166656,240293,24.629336970992036,0.21306170523166656,24.655457811921693,0.2115638256072998,0.026120840929657163,-0.0014978796243667603,1,0,1,1.7765230290079645
cows,100,24.67660739699088,0.7742958068847656,0.9760578274726868,0.2069753259420395,242321,24.67660739699088,0.2069753259420395,24.7472010484412,0.2020954042673111,0.07059365145032004,-0.0048799216747283936,1,0,1,1.7698126030091184
breakdance,5,24.519874211451103,0.811471164226532,0.9772149324417114,0.2334236353635788,153997,24.519874211451103,0.2334236353635788,25.663791003085684,0.16239437460899353,1.143916791634581,-0.07102926075458527,1,1,0,1.7485984958204726
cows,67,24.5568231264237,0.7614123225212097,0.9738900065422058,0.2111409604549408,235085,24.5568231264237,0.2111409604549408,24.67189120092952,0.2091599702835083,0.11506807450581746,-0.001980990171432495,1,0,1,1.7448768735762987
cows,93,24.538724273870912,0.7718378901481628,0.9756947159767151,0.20863696932792664,233249,24.538724273870912,0.20863696932792664,24.59916787882203,0.20816928148269653,0.06044360495111789,-0.00046768784523010254,1,0,1,1.726255726129088
cows,85,24.72887688353884,0.7688352465629578,0.9751524329185486,0.2064443826675415,242503,24.72887688353884,0.2064443826675415,24.780209747717663,0.20706132054328918,0.051332864178821325,0.0006169378757476807,1,0,1,1.7211831164611584
cows,35,24.283246767532894,0.7525138854980469,0.9723280668258667,0.21684090793132782,215427,24.283246767532894,0.21684090793132782,24.484565235046944,0.2161564975976944,0.20131846751404936,-0.0006844103336334229,1,0,0,1.7167532324671058
cows,68,24.527955208845533,0.7624033093452454,0.9740822315216064,0.21331119537353516,231977,24.527955208845533,0.21331119537353516,24.636013017421938,0.20884764194488525,0.10805780857640457,-0.004463553428649902,1,0,1,1.7115847911544668
cows,4,24.564839587125135,0.7675706744194031,0.9751027822494507,0.2070014476776123,233712,24.564839587125135,0.2070014476776123,24.64991071376837,0.20211687684059143,0.08507112664323557,-0.004884570837020874,1,0,1,1.7094004128748648
cows,84,24.72281946823933,0.77045077085495,0.9755821824073792,0.20910534262657166,241186,24.72281946823933,0.20910534262657166,24.7992617957229,0.2042350471019745,0.07644232748356927,-0.004870295524597168,1,0,1,1.7009005317606705
cows,83,24.562665085362852,0.7644453644752502,0.9746135473251343,0.21238265931606293,232866,24.562665085362852,0.21238265931606293,24.579811249409232,0.21171049773693085,0.017146164046380363,-0.0006721615791320801,1,0,1,1.6946549146371481
motocross-jump,20,31.418871394082387,0.8560554385185242,0.9781554937362671,0.2647184133529663,259815,29.725269017222445,0.31749048829078674,34.738089284687995,0.06925907731056213,3.319217890605607,-0.19545933604240417,0,1,1,1.6906682670593263
cows,5,24.540970822572486,0.7668465971946716,0.974649965763092,0.20698723196983337,231494,24.540970822572486,0.20698723196983337,24.568725398128702,0.2068120241165161,0.027754575556215855,-0.00017520785331726074,1,0,1,1.6889091774275138
cows,28,24.63613652147705,0.7685390114784241,0.9751558899879456,0.21114960312843323,235830,24.63613652147705,0.21114960312843323,24.738244702651535,0.20744790136814117,0.10210818117448639,-0.0037017017602920532,1,0,1,1.6804634785229513
