sequence,frame_index,cell_id,selector_score,vote_count,hard_quality_label,high_payload_label,gap8_psnr,adaptive_psnr,delta_psnr_adaptive_vs_gap8,gap8_ssim,adaptive_ssim,delta_ssim_adaptive_vs_gap8,gap8_ms_ssim,adaptive_ms_ssim,delta_ms_ssim_adaptive_vs_gap8,gap8_lpips,adaptive_lpips,delta_lpips_adaptive_vs_gap8,gap8_residual_payload_bytes,adaptive_keyframe_bitstream_bytes,local_payload_delta_bytes,false_positive_risk_flag,false_positive_reason
car-shadow,35,car-shadow:00032:00039,2.6436974789915966,2.0,0,1,29.84856892019208,30.093017509907966,0.244448589715887,0.907902717590332,0.9211351871490479,0.01323246955871582,0.9877671599388123,0.9918195009231567,0.004052340984344482,0.14372585713863373,0.11910896003246307,-0.024616897106170654,235624,719645,484021,0,large_local_payload_delta
kite-surf,6,kite-surf:00000:00008,1.4605042016806722,1.0,0,1,31.866850431519794,32.081621119619456,0.21477068809966227,0.9033735394477844,0.9121687412261963,0.008795201778411865,0.9854429960250854,0.9892467260360718,0.003803730010986328,0.10665919631719589,0.08890042454004288,-0.017758771777153015,222180,719644,497464,0,large_local_payload_delta
drift-straight,9,drift-straight:00008:00016,5.872268907563026,5.0,0,1,30.263434333748577,30.476664237329516,0.21322990358093818,0.9315845966339111,0.9375014305114746,0.0059168338775634766,0.9918709397315979,0.9934017062187195,0.001530766487121582,0.10946936905384064,0.09656871110200882,-0.012900657951831818,236860,719644,482784,0,large_local_payload_delta
drift-chicane,35,drift-chicane:00032:00040,1.1899159663865546,1.0,0,0,30.31224517782708,30.51404163443291,0.20179645660583034,0.8816599249839783,0.8991649746894836,0.01750504970550537,0.9850809574127197,0.9900827407836914,0.00500178337097168,0.20890849828720093,0.1570097804069519,-0.05189871788024902,135979,719642,583663,0,no_stage187_hard_or_payload_label large_local_payload_delta
goat,46,goat:00040:00048,4.650420168067227,4.0,0,1,27.227901295679033,27.41493658245033,0.1870352867712981,0.8570797443389893,0.8636694550514221,0.006589710712432861,0.9867805242538452,0.9884419441223145,0.0016614198684692383,0.1753898411989212,0.16931669414043427,-0.0060731470584869385,250761,719642,468881,0,large_local_payload_delta
scooter-black,10,scooter-black:00008:00016,5.882352941176471,5.0,1,1,25.138963779986252,25.31829586541633,0.1793320854300795,0.8794190287590027,0.8913974761962891,0.011978447437286377,0.9848389625549316,0.98980712890625,0.004968166351318359,0.20622949302196503,0.16774390637874603,-0.038485586643218994,223627,719647,496020,0,large_local_payload_delta
bike-packing,46,bike-packing:00040:00048,2.6638655462184877,2.0,1,0,26.026357385955002,26.201655199688936,0.17529781373393405,0.8463042378425598,0.8600264191627502,0.01372218132019043,0.9839819073677063,0.9874252676963806,0.0034433603286743164,0.17958198487758636,0.16041170060634613,-0.019170284271240234,239602,719650,480048,0,large_local_payload_delta
cows,60,cows:00056:00064,2.5546218487394956,2.0,1,1,24.682251429793656,24.83721590775727,0.15496447796361323,0.7649534344673157,0.7746913433074951,0.009737908840179443,0.9746205806732178,0.9775350093841553,0.0029144287109375,0.20894943177700043,0.20389516651630402,-0.005054265260696411,231565,719645,488080,0,large_local_payload_delta
camel,51,camel:00048:00056,1.4151260504201681,1.0,1,1,25.462957039119605,25.600132613179596,0.1371755740599916,0.7953987121582031,0.8042654991149902,0.00886678695678711,0.9788366556167603,0.9819626808166504,0.0031260251998901367,0.19162939488887787,0.18335258960723877,-0.008276805281639099,249506,719646,470140,0,large_local_payload_delta
parkour,87,parkour:00080:00088,1.6285714285714286,1.0,1,0,25.78571824919991,25.920616846383414,0.13489859718350417,0.8151793479919434,0.8231777548789978,0.007998406887054443,0.9807810187339783,0.9835963249206543,0.0028153061866760254,0.20471639931201935,0.18988604843616486,-0.014830350875854492,218618,719650,501032,0,large_local_payload_delta
goat,75,goat:00072:00080,3.6319327731092437,3.0,0,1,26.62571928925063,26.759409220285868,0.13368993103523863,0.8577370047569275,0.8626912236213684,0.004954218864440918,0.9869416952133179,0.9883349537849426,0.0013932585716247559,0.17728166282176971,0.1731504499912262,-0.004131212830543518,250518,719640,469122,0,large_local_payload_delta
goat,78,goat:00072:00080,3.598319327731092,3.0,0,1,26.54081198548788,26.668876681433034,0.12806469594515235,0.8546752333641052,0.8591116070747375,0.004436373710632324,0.9868714213371277,0.9882151484489441,0.0013437271118164062,0.18175573647022247,0.17560455203056335,-0.006151184439659119,244291,719649,475358,0,large_local_payload_delta
