candidate,sequence,frame_index,full_type,candidate_type,full_psnr,candidate_psnr,delta_psnr_candidate_vs_full,gap8_psnr,delta_psnr_candidate_vs_gap8,full_lpips,candidate_lpips,delta_lpips_candidate_vs_full,gap8_lpips,delta_lpips_candidate_vs_gap8,candidate_payload_bytes
interval_score_ge4p0,cows,14,stage158_residual_recovery,stage158_residual_recovery,24.624445391167903,24.576934733055683,-0.04751065811221977,24.576934733055683,0.0,0.21157892048358917,0.21169836819171906,0.00011944770812988281,0.21169836819171906,0.0,216303
interval_score_ge4p0,car-roundabout,11,stage158_residual_recovery,stage158_residual_recovery,27.01133352725714,26.968040062158547,-0.043293465098592776,26.968040062158547,0.0,0.1588783711194992,0.15993914008140564,0.001060768961906433,0.15993914008140564,0.0,235131
interval_score_ge4p0,camel,47,q12_keyframe,stage158_residual_recovery,25.67376262905522,25.631058787336862,-0.04270384171835673,25.631058787336862,0.0,0.1785331666469574,0.186445415019989,0.007912248373031616,0.186445415019989,0.0,228884
interval_score_ge4p0,camel,76,stage158_residual_recovery,stage158_residual_recovery,25.486503899782157,25.44488839108158,-0.04161550870057695,25.44488839108158,0.0,0.19366411864757538,0.19461500644683838,0.0009508877992630005,0.19461500644683838,0.0,245174
interval_score_ge4p0,camel,45,stage158_residual_recovery,stage158_residual_recovery,25.495133593296664,25.45565649021325,-0.03947710308341357,25.45565649021325,0.0,0.19094419479370117,0.1918182671070099,0.0008740723133087158,0.1918182671070099,0.0,235770
interval_score_ge4p0,cows,13,stage158_residual_recovery,stage158_residual_recovery,24.68667929948377,24.648115741605523,-0.03856355787824839,24.648115741605523,0.0,0.21074512600898743,0.210308238863945,-0.00043688714504241943,0.210308238863945,0.0,224135
interval_score_ge4p0,camel,43,stage158_residual_recovery,stage158_residual_recovery,25.453590467217868,25.420881264213612,-0.03270920300425573,25.420881264213612,0.0,0.19012218713760376,0.19478845596313477,0.004666268825531006,0.19478845596313477,0.0,231538
interval_score_ge4p0,camel,77,stage158_residual_recovery,stage158_residual_recovery,25.455248817537974,25.42397591235187,-0.03127290518610337,25.42397591235187,0.0,0.19634795188903809,0.1982344537973404,0.0018865019083023071,0.1982344537973404,0.0,249203
interval_score_ge4p0,car-shadow,37,stage158_residual_recovery,stage158_residual_recovery,29.60460328121524,29.57354767989345,-0.031055601321789084,29.57354767989345,0.0,0.14437958598136902,0.14646317064762115,0.0020835846662521362,0.14646317064762115,0.0,230168
interval_score_ge4p0,bike-packing,42,stage158_residual_recovery,stage158_residual_recovery,25.598415815022037,25.56747333760989,-0.03094247741214673,25.56747333760989,0.0,0.1793898344039917,0.18160128593444824,0.002211451530456543,0.18160128593444824,0.0,226637
interval_score_ge4p0,cows,62,stage158_residual_recovery,stage158_residual_recovery,24.625171883976876,24.595719404759564,-0.02945247921731209,24.595719404759564,0.0,0.21187016367912292,0.212300106883049,0.0004299432039260864,0.212300106883049,0.0,219864
