task_id,sequence,gap,codec,target_index,normalized_time,method,side_bits,psnr,ssim,ms_ssim,lpips,payload_bytes,side_mib_per_intermediate,q12_main_anchor_mib_per_frame_ref,direct_total_mib_per_frame_ref,delta_psnr_vs_original,delta_ssim_vs_original,delta_ms_ssim_vs_original,delta_lpips_vs_original
stage79_00030018,pigs,4,q12,23,0.75,image_residual_sideinfo_full_frame,3,26.760166855828352,0.735307514667511,0.9383729696273804,0.32269707322120667,69891,0.06665325164794922,0.18193822076791313,0.24859147241586235,-1.0273651667056356,-0.058480918407440186,-0.009381473064422607,0.10663032531738281
stage79_00030018,pigs,4,q12,23,0.75,image_residual_sideinfo_full_frame,4,34.724968451330426,0.9149144291877747,0.9863317012786865,0.10967951267957687,84670,0.08074760437011719,0.18193822076791313,0.2626858251380303,6.937436428796438,0.12112599611282349,0.038577258586883545,-0.10638723522424698
stage79_00030018,pigs,4,q12,23,0.75,image_residual_sideinfo_full_frame,5,41.345639218378814,0.9768805503845215,0.9969447255134583,0.03044046089053154,167173,0.15942859649658203,0.18193822076791313,0.34136681726449514,13.558107195844826,0.1830921173095703,0.04919028282165527,-0.1856262870132923
stage79_00030018,pigs,4,q12,23,0.75,image_residual_sideinfo_full_frame,6,47.53496204535321,0.9941323399543762,0.9992802143096924,0.006487890612334013,220934,0.21069908142089844,0.18193822076791313,0.39263730218881154,19.747430022819223,0.20034390687942505,0.051525771617889404,-0.20957885729148984
stage79_00022333,breakdance,4,q12,25,0.25,original_streamsplat_base,0,20.00348477540129,0.7283596396446228,0.85687255859375,0.24625961482524872,0,0.0,0.18193822076791313,0.18193822076791313,0.0,0.0,0.0,0.0
stage79_00022333,breakdance,4,q12,25,0.25,image_residual_sideinfo_full_frame,3,23.29360939531831,0.7376707196235657,0.9432049989700317,0.24794930219650269,61065,0.058236122131347656,0.18193822076791313,0.2401743428992608,3.2901246199170195,0.009311079978942871,0.08633244037628174,0.0016896873712539673
stage79_00022333,breakdance,4,q12,25,0.25,image_residual_sideinfo_full_frame,4,30.309071715567924,0.8997165560722351,0.9847699999809265,0.10997935384511948,82411,0.07859325408935547,0.18193822076791313,0.2605314748572686,10.305586940166634,0.1713569164276123,0.1278974413871765,-0.13628026098012924
stage79_00022333,breakdance,4,q12,25,0.25,image_residual_sideinfo_full_frame,5,37.39505555925812,0.9711551666259766,0.9966253042221069,0.03339144214987755,151140,0.14413833618164062,0.18193822076791313,0.32607655694955373,17.391570783856828,0.24279552698135376,0.13975274562835693,-0.21286817267537117
stage79_00022333,breakdance,4,q12,25,0.25,image_residual_sideinfo_full_frame,6,42.87620781270576,0.9880049824714661,0.9987254738807678,0.016592716798186302,211310,0.2015209197998047,0.18193822076791313,0.3834591405677178,22.872723037304468,0.25964534282684326,0.14185291528701782,-0.22966689802706242
stage79_00021925,bmx-trees,4,q12,31,0.75,original_streamsplat_base,0,23.60140544567637,0.6186644434928894,0.8847058415412903,0.22567906975746155,0,0.0,0.18193822076791313,0.18193822076791313,0.0,0.0,0.0,0.0
stage79_00021925,bmx-trees,4,q12,31,0.75,image_residual_sideinfo_full_frame,3,25.636511122313653,0.7057156562805176,0.9383871555328369,0.3216920495033264,41737,0.039803504943847656,0.18193822076791313,0.2217417257117608,2.035105676637283,0.08705121278762817,0.05368131399154663,0.09601297974586487
stage79_00021925,bmx-trees,4,q12,31,0.75,image_residual_sideinfo_full_frame,4,32.3354194705895,0.8726131319999695,0.9836080074310303,0.13123071193695068,67047,0.06394100189208984,0.18193822076791313,0.24587922266000298,8.73401402491313,0.2539486885070801,0.09890216588973999,-0.09444835782051086
stage79_00021925,bmx-trees,4,q12,31,0.75,image_residual_sideinfo_full_frame,5,38.667941172932,0.9609888195991516,0.9961185455322266,0.04759356006979942,137478,0.13110923767089844,0.18193822076791313,0.31304745843881154,15.066535727255626,0.3423243761062622,0.11141270399093628,-0.17808550968766212
stage79_00021925,bmx-trees,4,q12,31,0.75,image_residual_sideinfo_full_frame,6,44.82320307217939,0.989896833896637,0.9990639686584473,0.010047359392046928,195559,0.18649959564208984,0.18193822076791313,0.36843781641000295,21.22179762650302,0.37123239040374756,0.11435812711715698,-0.21563171036541462
stage79_00028560,mbike-trick,8,q12,6,0.75,original_streamsplat_base,0,22.111921178137585,0.5164439082145691,0.815710186958313,0.31860947608947754,0,0.0,0.09762538675351436,0.09762538675351436,0.0,0.0,0.0,0.0
stage79_00028560,mbike-trick,8,q12,6,0.75,image_residual_sideinfo_full_frame,3,22.61510431036871,0.6664071679115295,0.8986471891403198,0.39964842796325684,56722,0.05409431457519531,0.09762538675351436,0.15171970132870966,0.5031831322311255,0.14996325969696045,0.08293700218200684,0.0810389518737793
